Scenario;Country;Indicator;Energy_Type;2023;2030;2050;;;;
STEPS;India;Capacity factor  (%);Wind onshore;26;28;30;;;;
STEPS;India;Capacity factor  (%);Wind offshore;33;36;39;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Coal;40;35;35;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;120;85;80;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Solar PV;5;5;5;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Wind onshore;15;10;10;;;;
STEPS;India;Fuel, CO₂, O&M (USD/MWh);Wind offshore;25;15;10;;;;
STEPS;India;LCOE (USD/MWh);Nuclear;75;70;70;;;;
STEPS;India;LCOE (USD/MWh);Coal;60;55;55;;;;
STEPS;India;LCOE (USD/MWh);Gas CCGT;150;110;100;;;;
STEPS;India;LCOE (USD/MWh);Solar PV;45;25;20;;;;
STEPS;India;LCOE (USD/MWh);Wind onshore;60;55;45;;;;
STEPS;India;LCOE (USD/MWh);Wind offshore;115;80;55;;;;
APS;United States;Capital costs (USD/kW);Nuclear;5000;4800;4500;;;;
APS;United States;Capital costs (USD/kW);Coal;2100;2100;2100;;;;
APS;United States;Capital costs (USD/kW);Gas CCGT;1000;1000;1000;;;;
APS;United States;Capital costs (USD/kW);Solar PV;1110;660;460;;;;
APS;United States;Capital costs (USD/kW);Wind onshore;1500;1420;1340;;;;
APS;United States;Capital costs (USD/kW);Wind offshore;4060;2660;1800;;;;
APS;United States;Capacity factor  (%);Nuclear;90;90;85;;;;
APS;United States;Capacity factor  (%);Coal;30;n.a.;n.a.;;;;
APS;United States;Capacity factor  (%);Gas CCGT;50;30;n.a.;;;;
APS;United States;Capacity factor  (%);Solar PV;20;22;23;;;;
APS;United States;Capacity factor  (%);Wind onshore;42;43;44;;;;
APS;United States;Capacity factor  (%);Wind offshore;41;46;49;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Nuclear;30;30;30;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Coal;90;150;180;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Gas CCGT;55;80;95;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Solar PV;10;10;10;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Wind onshore;10;10;10;;;;
APS;United States;Fuel, CO₂, O&M (USD/MWh);Wind offshore;35;25;15;;;;
APS;United States;LCOE (USD/MWh);Nuclear;110;110;110;;;;
